,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,Leningradskiy,69.3833,178.4167,32.85,99,100,11.12,RU,1627939202
281,São Filipe,14.8961,-24.4956,76.6,82,33,5.44,CV,1627939126
282,Oranjemund,-28.55,16.4333,61.09,53,0,1.39,NA,1627939284
283,Hauterive,46.0901,3.4459,66.96,78,73,3.38,FR,1627939471
284,Yulara,-25.2406,130.9889,35.44,69,0,6.91,AU,1627939196
285,Sanjwal,33.7608,72.4336,85.95,62,85,4.09,PK,1627939471
286,Samarai,-10.6167,150.6667,78.8,79,75,13.0,PG,1627939391
287,Havelock,34.8791,-76.9013,84.43,87,96,7.36,US,1627939144
288,Anadyr,64.75,177.4833,41.5,93,90,24.0,RU,1627939472
289,Magdagachi,53.45,125.8,55.26,91,96,4.29,RU,1627939473
290,Haines Junction,60.7522,-137.5108,73.35,43,92,1.14,CA,1627939407
291,Departamento de Maldonado,-34.6667,-54.9167,47.23,88,30,4.79,UY,1627939347
292,Hofn,64.2539,-15.2082,53.64,86,88,9.15,IS,1627939346
293,Muscat,23.6139,58.5922,89.62,64,24,2.17,OM,1627939473
294,Lieksa,63.3167,30.0167,58.41,89,100,5.77,FI,1627939474
295,Carnarvon,-24.8667,113.6333,46.47,46,0,11.5,AU,1627939174
296,Kiunga,-6.1219,141.2906,69.13,95,81,2.66,PG,1627939474
297,Itaituba,-4.2761,-55.9836,80.76,89,40,5.75,BR,1627939327
298,Birjand,32.8663,59.2211,70.27,17,0,9.22,IR,1627939475
299,Santa Isabel Rio Negro,-0.4139,-65.0192,82.63,62,62,1.81,BR,1627939224
300,Lagoa,39.05,-27.9833,72.34,90,3,5.23,PT,1627939249
301,Seoul,37.5683,126.9778,76.51,100,0,4.61,KR,1627939166
302,Jadu,31.953,12.0261,88.84,16,5,16.69,LY,1627939476
303,Kaeo,-35.1,173.7833,56.32,78,21,18.05,NZ,1627939476
304,Pisco,-13.7,-76.2167,65.01,77,0,10.36,PE,1627939477
305,Encruzilhada do Sul,-30.5439,-52.5219,49.26,78,0,4.34,BR,1627939477
306,Salalah,17.0151,54.0924,78.89,89,90,5.75,OM,1627939280
307,Fomboni,-12.28,43.7425,76.39,72,0,11.07,KM,1627939245
308,Margate,51.3813,1.3862,62.04,73,100,1.01,GB,1627939478
309,Touros,-5.1989,-35.4608,76.1,78,31,17.4,BR,1627939478
310,São Miguel do Araguaia,-13.275,-50.1628,85.24,23,41,5.68,BR,1627939478
311,Merauke,-8.4667,140.3333,72.63,83,74,11.07,ID,1627939479
312,Mount Isa,-20.7333,139.5,64.17,34,75,17.27,AU,1627939287
313,Shādegān,30.6497,48.6647,94.91,12,0,7.11,IR,1627939479
314,Nikolskoye,59.7035,30.7861,63.39,99,100,5.32,RU,1627939167
315,Coyhaique,-45.5752,-72.0662,48.81,49,20,0.0,CL,1627939480
316,Rodolfo Sánchez Taboada,31.7167,-116.5667,76.1,75,16,3.0,MX,1627939480
317,Tsabong,-26.0217,22.401,53.89,27,0,2.19,BW,1627939481
318,Ahipara,-35.1667,173.1667,54.01,82,2,27.27,NZ,1627939388
319,Darhan,49.4867,105.9228,59.07,94,100,7.25,MN,1627939305
320,Oussouye,12.485,-16.5469,77.18,91,100,11.99,SN,1627939482
321,Suntar,62.1444,117.6319,56.68,91,38,1.97,RU,1627939482
322,Pacific Grove,36.6177,-121.9166,88.63,70,1,7.0,US,1627939244
323,Benton Harbor,42.1167,-86.4542,78.49,57,1,6.91,US,1627939483
324,Kieta,-6.2167,155.6333,79.2,85,35,3.67,PG,1627939483
325,Sawtell,-30.3833,153.1,63.19,96,75,16.11,AU,1627939483
326,Kruisfontein,-34.0033,24.7314,49.89,94,0,5.86,ZA,1627939484
327,Yar-Sale,66.8333,70.8333,55.11,94,100,6.31,RU,1627939485
328,Uarini,-2.99,-65.1083,87.75,49,83,2.1,BR,1627939485
329,Bandarbeyla,9.4942,50.8122,77.31,81,5,31.52,SO,1627939236
330,Yeppoon,-23.1333,150.7333,51.58,89,1,5.68,AU,1627939367
331,Markova,48.6758,24.4138,55.42,93,12,3.65,UA,1627939486
332,Wah,33.798,72.6957,85.01,64,91,2.24,PK,1627939486
333,Banda Aceh,5.5577,95.3222,79.21,78,95,13.2,ID,1627939318
334,Concepción del Oro,24.6333,-101.4167,74.05,37,100,2.33,MX,1627939487
335,Vila Franca do Campo,37.7167,-25.4333,70.21,78,0,7.14,PT,1627939487
336,Balezino,57.9796,53.0106,64.47,90,100,1.3,RU,1627939487
337,Chokurdakh,70.6333,147.9167,45.34,57,51,7.81,RU,1627939319
338,Mandera,3.9366,41.867,79.02,55,63,19.57,KE,1627939488
339,Rocha,-34.4833,-54.3333,48.94,88,34,3.67,UY,1627939488
340,Te Anau,-45.4167,167.7167,38.39,93,50,1.54,NZ,1627939306
341,San Patricio,28.017,-97.5169,97.52,35,23,7.16,US,1627939285
342,Paamiut,61.994,-49.6678,45.23,89,100,4.34,GL,1627939276
343,Necochea,-38.5473,-58.7368,58.03,58,17,12.17,AR,1627939336
344,Champerico,14.3,-91.9167,93.74,69,85,8.72,GT,1627939366
345,Nadvoitsy,63.8667,34.3167,57.7,84,100,6.49,RU,1627939490
346,Sitka,57.0531,-135.33,62.49,72,90,10.36,US,1627939290
347,Nabire,-3.3667,135.4833,75.15,92,96,3.11,ID,1627939490
348,Tautira,-17.7333,-149.15,82.42,75,100,15.64,PF,1627939298
349,Guatire,10.4762,-66.5427,83.7,89,21,3.02,VE,1627939273
350,Cap Malheureux,-19.9842,57.6142,59.49,61,0,3.76,MU,1627939491
351,Coquimbo,-29.9533,-71.3436,58.73,72,0,9.22,CL,1627939220
352,Katghora,22.5,82.55,74.97,90,98,3.76,IN,1627939492
353,Bāfq,31.6128,55.4107,87.46,13,58,6.11,IR,1627939492
354,Thinadhoo,0.5333,72.9333,81.18,72,100,2.89,MV,1627939281
355,Sørland,67.667,12.6934,46.47,72,100,11.25,NO,1627939493
356,San Quintín,30.4833,-115.95,79.11,56,2,14.54,MX,1627939493
357,San-Pédro,4.7485,-6.6363,74.91,86,5,5.91,CI,1627939493
358,Saint-Raymond,45.467,-73.6095,77.68,40,75,4.61,CA,1627939494
359,Kathmandu,27.7167,85.3167,71.82,100,75,2.3,NP,1627939354
360,Benjamín Hill,30.1667,-111.1,103.17,27,3,8.12,MX,1627939494
361,Del Rio,29.3627,-100.8968,89.24,66,20,8.05,US,1627939324
362,Kismayo,-0.3582,42.5454,75.61,83,100,17.65,SO,1627939495
363,Aleksandrov Gay,50.147,48.5704,83.84,32,15,5.68,RU,1627939495
364,Zabaykal'sk,49.6333,117.3167,59.68,73,99,5.68,RU,1627939496
365,Adré,13.4667,22.2,77.0,77,93,7.65,TD,1627939439
366,Amapá,1.0,-52.0,78.04,75,61,3.58,BR,1627939497
367,Barra de Tecoanapa,16.5167,-98.75,87.58,63,49,10.04,MX,1627939497
368,Myitkyina,25.3833,97.4,74.39,99,32,0.4,MM,1627939243
369,Sur,22.5667,59.5289,87.04,61,66,12.88,OM,1627939384
370,Knysna,-34.0363,23.0471,57.58,82,5,4.09,ZA,1627939498
371,Baiyin,36.5583,104.2081,63.48,70,99,13.82,CN,1627939498
372,Mhlume,-26.0333,31.85,63.86,94,7,2.59,SZ,1627939499
373,Faya,18.3851,42.4509,66.31,67,100,10.0,SA,1627939364
374,Autazes,-3.5797,-59.1306,87.67,49,73,2.66,BR,1627939499
375,Guerrero Negro,27.9769,-114.0611,85.19,45,14,11.88,MX,1627939293
376,Berbera,10.4396,45.0143,87.62,50,19,19.91,SO,1627939500
377,Laguna,38.421,-121.4238,99.43,22,1,4.0,US,1627939500
378,Vanimo,-2.6741,141.3028,77.86,88,98,5.46,PG,1627939501
379,Shingū,33.7333,135.9833,79.92,81,100,3.76,JP,1627939501
380,Lompoc,34.6391,-120.4579,94.69,65,1,14.97,US,1627939277
381,Mackay,-21.15,149.2,63.68,100,75,4.61,AU,1627939502
382,Saint-Augustin,51.226,-58.6502,62.8,76,94,15.88,CA,1627939236
383,Esperance,-33.8667,121.9,51.98,83,100,10.63,AU,1627939384
384,Ryōtsu-minato,38.0833,138.4333,84.16,80,88,3.49,JP,1627939502
385,Boma,7.0805,-2.1697,71.62,93,85,1.14,GH,1627939503
386,Cherskiy,68.75,161.3,40.01,66,98,15.77,RU,1627939284
387,Ostrovnoy,68.0531,39.5131,53.65,93,65,6.53,RU,1627939504
388,Kavaratti,10.5669,72.642,82.15,74,90,14.54,IN,1627939505
389,Ipixuna,-1.7625,-48.8043,87.75,67,92,2.77,BR,1627939505
390,Nasīrābād,26.3,74.7333,74.46,97,100,14.07,IN,1627939505
391,Pitimbu,-7.4706,-34.8086,73.99,84,11,13.69,BR,1627939506
392,Palora,-1.7,-77.9333,67.98,73,78,2.89,EC,1627939506
393,Maceió,-9.6658,-35.7353,72.84,100,75,6.91,BR,1627939440
394,Aripuanã,-9.1667,-60.6333,92.91,25,9,3.09,BR,1627939274
395,Saltillo,25.4167,-101.0,85.42,35,75,13.8,MX,1627939402
396,Sept-Îles,50.2001,-66.3821,66.72,74,75,1.01,CA,1627939507
397,Ludvika,60.1496,15.1878,49.8,89,7,2.82,SE,1627939507
398,Yārāda,17.65,83.2667,84.52,79,40,11.5,IN,1627939508
399,Ixtapa,20.7,-105.2,88.23,70,40,11.5,MX,1627939508
400,Half Moon Bay,37.4636,-122.4286,90.59,60,20,18.41,US,1627939007
401,Durrës,41.3231,19.4414,77.18,59,9,3.29,AL,1627939331
402,Juegang,32.3174,121.1855,77.65,93,0,9.55,CN,1627939509
403,Seoni,22.0833,79.5333,71.15,91,100,9.08,IN,1627939509
404,Kaitong,44.8135,123.15,63.39,96,100,7.61,CN,1627939510
405,Porto Belo,-27.1578,-48.5531,63.63,85,21,12.35,BR,1627939510
406,Mana,5.6592,-53.7767,78.93,87,60,7.99,GF,1627939511
407,Chatham,51.3789,0.5279,61.09,89,100,1.99,GB,1627939438
408,Luzhany,48.3649,25.7717,64.65,89,7,4.18,UA,1627939511
409,Bubaque,11.2833,-15.8333,79.27,82,98,18.72,GW,1627939383
410,Kisangani,0.5167,25.2,70.75,83,63,2.13,CD,1627939512
411,Erzin,36.9559,36.2,83.12,79,0,1.25,TR,1627939512
412,San Lorenzo,-25.3333,-57.5333,70.74,37,0,8.05,PY,1627939513
413,Zhigansk,66.7697,123.3711,60.12,59,18,9.4,RU,1627939351
414,Kilakarai,9.2333,78.7833,82.42,60,79,15.32,IN,1627939513
415,Hede,33.7681,120.2517,74.28,91,0,5.5,CN,1627939513
416,Shenjiamen,29.9576,122.298,78.76,93,96,10.67,CN,1627939514
417,Mujiayingzi,42.1167,118.7833,62.42,92,70,3.51,CN,1627939514
418,Ginda,30.6945,78.4932,67.1,90,82,2.55,IN,1627939515
419,Zaragoza,41.6561,-0.8773,79.02,45,20,3.0,ES,1627939498
420,Province of Groningen,53.25,6.75,59.04,90,40,3.44,NL,1627939318
421,Douglas,41.3,-96.167,82.0,47,40,3.0,US,1627939516
422,‘Ewa Beach,21.3156,-158.0072,84.15,51,40,25.99,US,1627939070
423,High Level,58.5169,-117.136,87.91,40,40,4.61,CA,1627939221
424,Macas,-2.3167,-78.1167,67.75,94,75,3.44,EC,1627939516
425,Brenham,30.1669,-96.3977,89.08,74,40,3.44,US,1627939517
426,Benguela,-12.5763,13.4055,70.65,84,0,5.53,AO,1627939517
427,Senno,59.5336,33.9167,64.26,96,86,9.8,RU,1627939517
428,Murmashi,68.8154,32.8115,48.61,100,75,2.24,RU,1627939518
429,Carutapera,-1.195,-46.02,75.97,87,61,6.53,BR,1627939518
430,Agadez,19.75,10.25,93.13,12,0,6.02,NE,1627939519
431,Pochutla,15.7432,-96.4661,90.82,58,86,6.73,MX,1627939519
432,Lindsay,36.203,-119.0882,106.79,26,1,12.66,US,1627939520
433,Neiafu,-18.65,-173.9833,75.88,73,40,5.75,TO,1627939520
434,East Wenatchee,47.4157,-120.2931,97.5,15,2,3.67,US,1627939520
435,Fort Nelson,58.8053,-122.7002,74.79,73,40,2.3,CA,1627939393
436,Khovd,48.0056,91.6419,60.15,49,0,2.71,MN,1627939521
437,Maumere,-8.6199,122.2111,78.66,82,83,8.5,ID,1627939521
438,Cam Ranh,11.9214,109.1591,84.16,65,40,10.36,VN,1627939522
439,El Escorial,40.5914,-4.1474,75.36,37,31,3.27,ES,1627939522
440,Port Said,31.2565,32.2841,84.18,70,0,5.75,EG,1627939523
441,Aloleng,16.1307,119.7824,81.88,85,100,21.97,PH,1627939523
442,Camopi,3.1655,-52.3158,78.93,74,91,2.33,GF,1627939379
443,Vostok,46.4856,135.8833,66.85,88,52,1.16,RU,1627939334
444,Kwang Binh,17.4833,106.6,82.83,73,82,10.65,VN,1627939524
445,Meulaboh,4.1363,96.1285,74.93,85,87,4.99,ID,1627939489
446,Panlaitan,12.1191,119.8486,82.78,82,100,19.13,PH,1627939525
447,Adrar,20.5022,-10.0711,97.95,27,3,8.57,MR,1627939320
448,Tilichiki,60.4667,166.1,49.8,50,81,22.44,RU,1627939525
449,Tandur,17.2333,77.5833,73.56,83,92,15.52,IN,1627939526
450,Bājitpur,24.2167,90.95,82.44,93,99,4.68,BD,1627939526
451,Kahului,20.8947,-156.47,85.26,65,40,23.02,US,1627939527
452,Bagua Grande,-5.7561,-78.4411,84.52,51,54,7.11,PE,1627939527
453,Vila,42.0304,-8.1588,57.94,77,16,4.47,PT,1627939527
454,Bogotol,56.2078,89.5342,55.33,93,73,5.01,RU,1627939338
455,Katherine,-14.4667,132.2667,64.72,68,72,3.44,AU,1627939294
456,Varhaug,58.6147,5.6457,54.48,68,65,18.5,NO,1627939528
457,Paita,-5.0892,-81.1144,72.16,75,6,17.49,PE,1627939528
458,Soledade,-28.8183,-52.5103,57.04,73,4,3.42,BR,1627939529
459,Mossamedes,-15.1961,12.1522,69.49,82,85,1.83,AO,1627939194
460,Krasnosel'kup,65.7,82.4667,60.67,85,99,8.5,RU,1627939529
461,Cabedelo,-6.9811,-34.8339,74.07,84,12,14.32,BR,1627939530
462,Forsytheganj,52.6333,29.7333,59.2,89,34,8.93,BY,1627939301
463,Juneau,58.3019,-134.4197,66.85,81,90,11.5,US,1627939530
464,Galle,6.0367,80.217,78.89,86,100,13.35,LK,1627939531
465,Nemuro,43.3236,145.575,68.41,99,99,4.9,JP,1627939531
466,Kutum,14.2,24.6667,75.88,58,44,11.95,SD,1627939532
467,Neijiang,29.5835,105.0622,78.22,82,0,3.38,CN,1627939532
468,Hasaki,35.7333,140.8333,81.0,90,99,10.49,JP,1627939317
469,Ambilobe,-13.2,49.05,67.1,86,10,3.27,MG,1627939399
470,Poum,-20.2333,164.0167,68.02,65,12,9.6,NC,1627939279
471,Tupik,54.4253,119.9327,53.29,94,93,1.28,RU,1627939533
472,Tuatapere,-46.1333,167.6833,43.83,84,99,4.34,NZ,1627939294
473,Pedra Branca,-5.4542,-39.7172,76.35,39,2,2.35,BR,1627939534
474,Ouro Preto do Oeste,-10.7481,-62.2158,92.44,20,16,6.31,BR,1627939500
475,Prachuap Khiri Khan,12.2167,99.75,82.69,76,100,8.57,TH,1627939534
476,Van Buren,35.4368,-94.3483,89.62,53,40,1.99,US,1627939534
477,Olinda,-8.0089,-34.8553,73.13,94,75,6.91,BR,1627939535
478,Saint-Pierre,-21.3393,55.4781,66.29,59,0,5.75,RE,1627939535
479,Manchar,19.0,73.9333,71.28,87,100,16.67,IN,1627939536
480,Omboué,-1.5746,9.2618,75.49,85,98,5.93,GA,1627939536
481,Dalmatovo,56.26,62.9362,65.52,63,100,7.16,RU,1627939536
482,Manaure,11.7751,-72.4445,86.13,66,82,15.68,CO,1627939537
483,Kambove,-10.8764,26.5969,60.6,44,7,3.29,CD,1627939537
484,The Valley,18.217,-63.0578,84.81,74,20,103.57,AI,1627939315
485,Kendari,-3.945,122.4989,72.91,92,12,3.33,ID,1627939363
486,Port Hedland,-20.3167,118.5667,51.85,30,16,8.05,AU,1627939538
487,Fengzhen,40.4394,113.1536,66.47,71,100,4.83,CN,1627939538
488,Palanga,55.9175,21.0686,64.42,72,75,10.36,LT,1627939539
489,Kalmunai,7.4167,81.8167,79.79,67,99,5.17,LK,1627939317
490,Mulegé,26.8833,-111.9833,97.3,43,88,10.71,MX,1627939539
491,Sheltozero,61.3667,35.3667,61.5,88,100,17.67,RU,1627939540
492,Pimenta Bueno,-11.6725,-61.1936,93.15,19,6,4.74,BR,1627939540
493,Gorin,51.1983,136.6669,56.75,89,99,8.19,RU,1627939540
494,Lavrentiya,65.5833,-171.0,44.56,99,100,8.23,RU,1627939250
495,Vieques,18.425,-65.8329,86.23,70,75,4.61,PR,1627939541
496,Kodinsk,58.6881,99.1844,54.05,87,32,0.65,RU,1627939349
497,Egvekinot,66.3167,-179.1667,34.86,88,100,15.1,RU,1627939379
498,Puerto Nariño,-3.7703,-70.3831,89.55,40,29,3.91,CO,1627939428
499,Ongandjera,-17.8833,15.0667,65.16,27,0,9.93,NA,1627939542
500,Torzhok,57.0436,34.9622,61.0,91,97,16.22,RU,1627939542
501,Talovaya,51.1144,40.73,75.61,53,5,7.27,RU,1627939543
502,Kodīnar,20.7903,70.7031,80.94,83,78,21.63,IN,1627939543
503,Birin,26.8865,88.0718,63.93,91,100,3.24,NP,1627939544
504,Namatanai,-3.6667,152.4333,79.21,82,24,6.46,PG,1627939291
505,Calama,-22.4667,-68.9333,68.49,17,40,19.57,CL,1627939342
506,Gueugnon,46.6036,4.0629,62.19,83,92,1.7,FR,1627939545
507,Waipawa,-41.4122,175.5153,49.03,82,100,11.43,NZ,1627939545
508,Skibbereen,51.55,-9.2667,57.0,83,100,4.97,IE,1627939545
509,Kalininsk,51.5,44.4758,78.35,33,53,7.25,RU,1627939546
510,Koppies,-27.2418,27.5742,52.92,21,0,8.12,ZA,1627939546
511,Tura,25.5198,90.2201,74.05,98,99,3.58,IN,1627939265
512,Sun Valley,39.5963,-119.776,96.48,19,20,1.01,US,1627939547
513,Ardahan,41.1087,42.7022,53.49,82,15,2.48,TR,1627939547
514,Kovūr,14.4833,79.9833,87.84,47,100,14.85,IN,1627939547
515,Chalchihuites,23.4833,-103.8833,75.31,35,87,5.5,MX,1627939548
516,Tieling,42.2931,123.8414,65.01,97,36,3.29,CN,1627939548
517,Nome,64.5011,-165.4064,58.15,88,90,18.41,US,1627939286
518,Rio Grande,-32.035,-52.0986,55.51,89,13,7.63,BR,1627939249
519,Tessalit,20.1986,1.0114,92.16,29,46,2.21,ML,1627939299
520,Karratha,-20.7377,116.8463,59.76,25,6,16.87,AU,1627939450
521,Chodavaram,17.8333,82.95,84.04,67,99,3.98,IN,1627939549
522,Masaka,-0.3338,31.7341,62.69,76,17,1.43,UG,1627939550
523,Safi,32.2994,-9.2372,68.77,87,0,15.99,MA,1627939550
524,Strezhevoy,60.7333,77.5889,57.18,92,100,1.5,RU,1627939550
525,Naliya,23.2667,68.8333,81.09,81,99,20.51,IN,1627939551
526,Wanning,18.8003,110.3967,80.33,86,83,10.33,CN,1627939551
527,La Macarena,2.1837,-73.7849,70.9,92,99,4.56,CO,1627939552
528,Isangel,-19.55,169.2667,66.31,88,20,0.0,VU,1627939552
529,San Nicolas,18.1725,120.5953,84.11,89,90,14.97,PH,1627939552
530,Guane,22.2025,-84.0875,89.67,55,83,8.48,CU,1627939553
531,Diok’nisi,41.6293,42.3917,64.09,88,2,4.79,GE,1627939553
532,Hambantota,6.1241,81.1185,78.76,82,100,18.07,LK,1627939355
533,Dauphin,51.1494,-100.0502,86.14,35,1,13.8,CA,1627939487
534,Kirkuk,35.4681,44.3922,92.41,26,0,11.7,IQ,1627939343
535,Belém,-1.4558,-48.5044,87.84,51,40,5.75,BR,1627939554
536,Tromsø,69.6496,18.957,46.42,87,75,3.0,NO,1627939376
537,Manta,-0.95,-80.7333,78.58,69,20,11.5,EC,1627939555
538,Basavana Bāgevādi,16.5833,75.9667,71.24,83,98,16.87,IN,1627939555
539,Chak Jhumra,31.5678,73.1835,92.91,52,42,7.18,PK,1627939555
540,Victoria Falls,-17.9235,25.843,61.18,42,0,2.75,ZW,1627939556
541,Whakatane,-37.9585,176.9854,50.5,99,99,4.0,NZ,1627939556
542,Nikolayevsk-on-Amur,53.1406,140.73,53.92,95,100,5.01,RU,1627939557
543,Huangyan,28.6478,121.2594,79.99,98,97,4.32,CN,1627939557
544,Ballina,-28.8667,153.5667,61.79,89,100,10.09,AU,1627939343
545,Nogliki,51.8333,143.1667,53.91,91,100,12.26,RU,1627939557
546,Kununurra,-15.7667,128.7333,73.38,49,77,5.75,AU,1627939558
547,Podporozh'ye,60.9112,34.1706,59.76,96,100,12.08,RU,1627939558
548,Husavik,66.0449,-17.3389,55.31,85,77,5.32,IS,1627939559
549,Hualmay,-11.0964,-77.6139,67.6,72,8,10.27,PE,1627939559
550,Lüderitz,-26.6481,15.1594,67.08,37,0,2.33,NA,1627939331
551,Keelung,25.1283,121.7419,83.86,91,100,9.78,TW,1627939560
552,Yūbari,43.0378,141.9578,75.33,86,93,3.29,JP,1627939560
553,Bodden Town,19.2833,-81.25,89.6,71,20,1.99,KY,1627939560
554,Xam Nua,20.4197,104.0439,66.45,100,75,3.02,LA,1627939561
555,Bugiri,0.5714,33.7417,63.57,70,12,5.23,UG,1627939561
556,Mikhaylov,54.2292,39.0186,65.48,84,66,17.13,RU,1627939562
557,Urusha,54.05,122.9,52.7,98,79,3.18,RU,1627939562
558,La Ronge,55.1001,-105.2842,86.25,25,75,1.14,CA,1627939563
559,Xinzhou,38.4092,112.7333,68.13,85,100,2.17,CN,1627939327
